unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1498924740,2017-07-01 15:59:00,BTC/USD,2466.35,2466.35,2466.35,2466.35,0.17648000,435.261448
1498921140,2017-07-01 14:59:00,BTC/USD,2453.13,2457.90,2453.13,2457.90,0.50717352,1246.5817948080003
1498917540,2017-07-01 13:59:00,BTC/USD,2458.43,2458.43,2433.59,2449.01,305.03124676,747024.5736277077
1498913940,2017-07-01 12:59:00,BTC/USD,2495.06,2495.62,2495.06,2495.62,11.18589399,27915.7407593238
1498910340,2017-07-01 11:59:00,BTC/USD,2499.21,2500.00,2499.21,2500.00,0.67932059,1698.301475
1498906740,2017-07-01 10:59:00,BTC/USD,2505.43,2506.50,2505.43,2506.50,0.29228730,732.6181174500001
1498903140,2017-07-01 09:59:00,BTC/USD,2500.00,2502.84,2493.52,2493.52,0.67421427,1681.1667665304
1498899540,2017-07-01 08:59:00,BTC/USD,2503.01,2503.01,2503.01,2503.01,0.00300000,7.509030000000001
1498895940,2017-07-01 07:59:00,BTC/USD,2505.53,2505.53,2505.53,2505.53,0.00000000,0.0
1498892340,2017-07-01 06:59:00,BTC/USD,2487.74,2487.74,2487.74,2487.74,2.07899979,5172.0109375746
1498888740,2017-07-01 05:59:00,BTC/USD,2470.81,2470.81,2469.04,2469.04,0.14367893,354.7490253272
1498885140,2017-07-01 04:59:00,BTC/USD,2469.97,2470.00,2467.88,2467.88,0.15000000,370.182
1498881540,2017-07-01 03:59:00,BTC/USD,2445.57,2445.57,2445.57,2445.57,0.00000000,0.0
1498877940,2017-07-01 02:59:00,BTC/USD,2447.07,2449.56,2447.07,2449.56,2.03674071,4989.118573587601
1498874340,2017-07-01 01:59:00,BTC/USD,2459.22,2460.94,2459.22,2460.94,19.13233455,47083.527387477
1498870740,2017-07-01 00:59:00,BTC/USD,2472.90,2476.08,2472.90,2476.08,3.33600000,8260.202879999999
1498867140,2017-06-30 23:59:00,BTC/USD,2458.51,2467.12,2458.00,2465.49,17.83933734,43982.70781839659
1498863540,2017-06-30 22:59:00,BTC/USD,2460.00,2462.73,2459.93,2462.73,1.57928393,3889.3499129289
1498859940,2017-06-30 21:59:00,BTC/USD,2478.73,2480.71,2477.30,2480.71,3.30434652,8197.1254556292
1498856340,2017-06-30 20:59:00,BTC/USD,2517.98,2519.32,2517.98,2519.32,0.19073253,480.51627747960003
1498852740,2017-06-30 19:59:00,BTC/USD,2520.00,2520.00,2519.89,2519.89,1.32880181,3348.4343930009
1498849140,2017-06-30 18:59:00,BTC/USD,2529.94,2529.96,2525.03,2525.37,1.08145251,2731.0677251787
1498845540,2017-06-30 17:59:00,BTC/USD,2532.81,2536.00,2532.76,2536.00,15.80700415,40086.5625244
1498841940,2017-06-30 16:59:00,BTC/USD,2527.75,2527.75,2527.75,2527.75,0.00000000,0.0
1498838340,2017-06-30 15:59:00,BTC/USD,2525.77,2527.00,2525.75,2525.76,19.10681608,48259.231782220806
1498834740,2017-06-30 14:59:00,BTC/USD,2524.00,2524.00,2524.00,2524.00,3.60769853,9105.831089719999
